"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle.Powertrain.Transmission.GearChangeMode","actuator","string","","","","","Is the gearbox in automatic or manual (paddle) mode.","","['MANUAL', 'AUTOMATIC']","","ff3c69378c2f598286e51f7dac13adaa"
"Vehicle.Powertrain.Transmission.Temperature","sensor","int16","","celsius","","","The current gearbox temperature.","","","","4f5e48c3511b5e1abff11aa7ec62dd18"
"Vehicle.Powertrain.Transmission.ClutchEngagement","actuator","float","","percent","0","100","Clutch engagement. 0% = Clutch fully disengaged. 100% = Clutch fully engaged.","","","","2890bd4a2b6a56c19b62d7bd95151fc6"
"Vehicle.Powertrain.Transmission.ClutchWear","sensor","uint8","","percent","","100","Clutch wear as a percent. 0 = no wear. 100 = worn.","","","","c113405ad165571a9d53ae4cf55dc929"
"Vehicle.Powertrain.Transmission.DiffLockFrontEngagement","actuator","float","","percent","0","100","Front Diff Lock engagement. 0% = Diff lock fully disengaged. 100% = Diff lock fully engaged.","","","","5149afe37fbd5c24847b5820821abc02"
"Vehicle.Powertrain.Transmission.DiffLockRearEngagement","actuator","float","","percent","0","100","Rear Diff Lock engagement. 0% = Diff lock fully disengaged. 100% = Diff lock fully engaged.","","","","197c939bd1405613b80179becec6db83"
"Vehicle.Powertrain.Transmission.TorqueDistribution","actuator","float","","percent","-100","100","Torque distribution between front and rear axle in percent. -100% = Full torque to front axle, 0% = 50:50 Front/Rear, 100% = Full torque to rear axle.","","","","d3bcaaf973d3512287817049db9bd677"
"Vehicle.Powertrain.ElectricMotor","branch","","","","","","Electric Motor specific data.","","","","1ade64f6b0d05f6c9340e7a667555ae2"
"Vehicle.Powertrain.ElectricMotor.EngineCode","attribute","string","","","","","Engine code designation, as specified by vehicle manufacturer.","","","","e4102a5142ed501495e5edafd3d36dfb"
"Vehicle.Powertrain.ElectricMotor.MaxPower","attribute","uint16","","kW","","","Peak power, in kilowatts, that motor(s) can generate.","","","0","825ec7911ee958abb199b9f7903df3a6"
"Vehicle.Powertrain.ElectricMotor.MaxTorque","attribute","uint16","","Nm","","","Peak power, in newton meter, that the motor(s) can generate.","","","0","cf31eabcde5151f589e9b0f7a6090512"
"Vehicle.Powertrain.ElectricMotor.MaxRegenPower","attribute","uint16","","kW","","","Peak regen/brake power, in kilowatts, that motor(s) can generate.","","","0","7f2cb2650ba95485b7156ffe76e27366"
"Vehicle.Powertrain.ElectricMotor.MaxRegenTorque","attribute","uint16","","Nm","","","Peak regen/brake torque, in newton meter, that the motor(s) can generate.","","","0","0e5190c2517b55aa80fcb9bf698e02d6"
"Vehicle.Powertrain.ElectricMotor.Speed","sensor","int32","","rpm","","","Motor rotational speed measured as rotations per minute. Negative values indicate reverse driving mode.","","","","ca961aa6ca435095a89f9d404a5d849d"
"Vehicle.Powertrain.ElectricMotor.Temperature","sensor","int16","","celsius","","","Motor temperature.","","","","1b7c15e5341052139995bfacea2c05b2"
"Vehicle.Powertrain.ElectricMotor.CoolantTemperature","sensor","int16","","celsius","","","Motor coolant temperature (if applicable).","","","","3c5ea8c7700956518f2ae7a2a0f34f1c"
"Vehicle.Powertrain.ElectricMotor.Power","sensor","int16","","kW","","","Current motor power output. Negative values indicate regen mode.","","","","46b86286fba059349a733fed9a0e3232"
"Vehicle.Powertrain.ElectricMotor.Torque","sensor","int16","","Nm","","","Current motor torque. Negative values indicate regen mode.","","","","aceffe768ddf5b828fff0975349d2433"
"Vehicle.Powertrain.TractionBattery","branch","","","","","","Battery Management data.","","","","1a2515d1a8875d86873431194ade2b50"
"Vehicle.Powertrain.TractionBattery.Id","attribute","string","","","","","Battery Identification Number as assigned by OEM.","This could be serial number, part number plus serial number, UUID, or any other identifier that the OEM want to use to uniquely identify the battery individual.","","","c8279874660c55b38c7ac64a8503a519"
"Vehicle.Powertrain.TractionBattery.ProductionDate","attribute","string","","iso8601","","","Production date of battery in ISO8601 format, e.g. YYYY-MM-DD.","","","","c9509ba4d76c56d9a8c1d6e2280ae02f"
"Vehicle.Powertrain.TractionBattery.ErrorCodes","sensor","string[]","","","","","Current error codes related to the battery, if any.","Error code format is not defined, it may be DTCs according to OBD II (SAE-J2012DA_201812) standard ([P|C|B|U]XXXXX ) or any other format.","","","bbc1f199a5965e5eb4f99709052a7cc4"
"Vehicle.Powertrain.TractionBattery.IsPowerConnected","sensor","boolean","","","","","Indicating if the power (positive terminator) of the traction battery is connected to the powertrain.","It might be possible to disconnect the traction battery used by an electric powertrain. This is achieved by connectors, typically one for plus and one for minus.","","","e30ef59fc2a25f6b8990248e19a5cdf9"
"Vehicle.Powertrain.TractionBattery.IsGroundConnected","sensor","boolean","","","","","Indicating if the ground (negative terminator) of the traction battery is connected to the powertrain.","It might be possible to disconnect the traction battery used by an electric powertrain. This is achieved by connectors, typically one for plus and one for minus.","","","dd38d1c7ee12530aac03f49ad01d5c04"
"Vehicle.Powertrain.TractionBattery.Temperature","branch","","","","","","Temperature Information for the battery pack.","","","","1cfbcf8c152959dcb3eb2c54fc42e623"
"Vehicle.Powertrain.TractionBattery.Temperature.Average","sensor","float","","celsius","","","Current average temperature of the battery cells.","","","","ae28e502137f56b9a037ed9b32bc04e1"
"Vehicle.Powertrain.TractionBattery.Temperature.Min","sensor","float","","celsius","","","Current minimum temperature of the battery cells, i.e. temperature of the coldest cell.","","","","4e3f630fefa7558fa302b175bc7eb5c7"
"Vehicle.Powertrain.TractionBattery.Temperature.Max","sensor","float","","celsius","","","Current maximum temperature of the battery cells, i.e. temperature of the hottest cell.","","","","07aa7c8ba1d355398d7469c2b337152a"
"Vehicle.Powertrain.TractionBattery.Temperature.CellTemperature","sensor","float[]","","","","","Array of cell temperatures. Length or array shall correspond to number of cells in vehicle.","Cells are identified by relative position in array.","","","e92fede319da5e428f4bd024d7dd6970"
"Vehicle.Powertrain.TractionBattery.CellVoltage","branch","","","","","","Voltage information for cells in the battery pack.","","","","0070210b80125f1a8e9473f8875fe3d1"
"Vehicle.Powertrain.TractionBattery.CellVoltage.Min","sensor","float","","V","","","Current voltage of the battery cell with lowest voltage.","","","","b868f28cc42a5ba28a127647cd16cb93"
"Vehicle.Powertrain.TractionBattery.CellVoltage.IdMin","sensor","uint16","","","","","Identifier of the battery cell with lowest voltage.","Identifier is supposed to be relative index of the cell, starting with 0 the first cell.","","","cbaef92ad3f55b20bc71188fba79d00d"
"Vehicle.Powertrain.TractionBattery.CellVoltage.Max","sensor","float","","V","","","Current voltage of the battery cell with highest voltage.","","","","bde40aa6b442580db3c0d4c1efed8a09"
"Vehicle.Powertrain.TractionBattery.CellVoltage.IdMax","sensor","uint16","","","","","Identifier of the battery cell with highest voltage.","Identifier is supposed to be relative index of the cell, starting with 0 the first cell.","","","c84a89bd5faa5e9cb0a9bf191bfeec9c"
"Vehicle.Powertrain.TractionBattery.CellVoltage.CellVoltages","sensor","float[]","","","","","Array of cell voltages. Length or array shall correspond to number of cells in vehicle.","Cells are identified by relative position in array.","","","1970692bc3a457f1b6f58aa53c905264"
"Vehicle.Powertrain.TractionBattery.GrossCapacity","attribute","uint16","","kWh","","","Gross capacity of the battery.","","","","5460530488435dc8bfa1298bf47a993d"
"Vehicle.Powertrain.TractionBattery.NetCapacity","sensor","uint16","","kWh","","","Total net capacity of the battery considering aging.","","","","9c68fe42cb81501eb6349f8c9b0b6899"
"Vehicle.Powertrain.TractionBattery.StateOfHealth","sensor","float","","percent","0","100","Calculated battery state of health at standard conditions.","Exact formula is implementation dependent. Could be e.g. current capacity at 20 degrees Celsius divided with original capacity at the same temperature.","","","4d982c47f3245048bcfec1190973a3ed"
"Vehicle.Powertrain.TractionBattery.StateOfCharge","branch","","","","","","Information on the state of charge of the vehicle's high voltage battery.","","","","26bae2ce7c4d5e2a951915ef2f5d8b7d"
"Vehicle.Powertrain.TractionBattery.StateOfCharge.Current","sensor","float","","percent","0","100.0","Physical state of charge of the high voltage battery, relative to net capacity. This is not necessarily the state of charge being displayed to the customer.","","","","2e647ca3a1ff5e52af137aab240642da"
"Vehicle.Powertrain.TractionBattery.StateOfCharge.Displayed","sensor","float","","percent","0","100.0","State of charge displayed to the customer.","","","","1bfcc228293b5512aafe2508ab0500d2"
"Vehicle.Powertrain.TractionBattery.StateOfCharge.CurrentEnergy","sensor","float","","kWh","","","Physical state of charge of high voltage battery expressed in kWh.","Current energy could be calculated as .StateOfCharge.Current * .NetCapacity.","","","435ef8dbe4425450ae1ff6215fc9e40b"
"Vehicle.Powertrain.TractionBattery.NominalVoltage","attribute","uint16","","V","","","Nominal Voltage of the battery.","Nominal voltage typically refers to voltage of fully charged battery when delivering rated capacity.","","","3eccae5633185b998d5bdb6ea33cd926"
"Vehicle.Powertrain.TractionBattery.MaxVoltage","attribute","uint16","","V","","","Max allowed voltage of the battery, e.g. during charging.","","","","a81264a0ef0c55d288671cfc62c4add5"
"Vehicle.Powertrain.TractionBattery.CurrentVoltage","sensor","float","","V","","","Current Voltage of the battery.","","","","7b54ea22ee7d5f559da552aefcc07222"
"Vehicle.Powertrain.TractionBattery.CurrentCurrent","sensor","float","","A","","","Current current flowing in/out of battery. Positive = Current flowing in to battery, e.g. during charging. Negative = Current flowing out of battery, e.g. during driving.","","","","7a1488e0c83f50a6b69d8ea85c5bb592"
"Vehicle.Powertrain.TractionBattery.CurrentPower","sensor","float","","W","","","Current electrical energy flowing in/out of battery. Positive = Energy flowing in to battery, e.g. during charging. Negative = Energy flowing out of battery, e.g. during driving.","","","","8859e1b0386a5eda880a9c30cd0dfa8e"
"Vehicle.Powertrain.TractionBattery.AccumulatedChargedEnergy","sensor","float","","kWh","","","The accumulated energy delivered to the battery during charging over lifetime of the battery.","","","","739d06021d795da0877bc0ef3c107de1"
"Vehicle.Powertrain.TractionBattery.AccumulatedConsumedEnergy","sensor","float","","kWh","","","The accumulated energy leaving HV battery for propulsion and auxiliary loads over lifetime of the battery.","","","","b844cb96765f574d8d31edb09ccaef81"
"Vehicle.Powertrain.TractionBattery.AccumulatedChargedThroughput","sensor","float","","Ah","","","The accumulated charge throughput delivered to the battery during charging over lifetime of the battery.","","","","6d038ccc313351fba3a9104c1158a207"
"Vehicle.Powertrain.TractionBattery.AccumulatedConsumedThroughput","sensor","float","","Ah","","","The accumulated charge throughput leaving HV battery for propulsion and auxiliary loads over lifetime of the battery.","","","","f3e2ca21f3b550288d494827c9a172dd"
"Vehicle.Powertrain.TractionBattery.PowerLoss","sensor","float","","W","","","Electrical energy lost by power dissipation to heat inside the battery.","","","","880082aafe025cb3a5776b623f9a48b5"
"Vehicle.Powertrain.TractionBattery.Range","sensor","uint32","","m","","","Remaining range in meters using only battery.","","","","c0376a425e5d578d9d86ae0dc2ad9778"
"Vehicle.Powertrain.TractionBattery.TimeRemaining","sensor","uint32","","s","","","Time remaining in seconds before the battery is empty.","","","","7a51820010f35dcabe968e669173b27e"
"Vehicle.Powertrain.TractionBattery.Charging","branch","","","","","","Properties related to battery charging.","","","","49b9ef0c8b145a36afdf17d0cb44131b"
"Vehicle.Powertrain.TractionBattery.Charging.ChargeLimit","actuator","uint8","","percent","0","100","Target charge limit (state of charge) for battery.","","","100","62360a4ed1095275a7052d65112aaef1"
"Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent","branch","","","","","","Maximum charging current that can be accepted by the system, as measured at the charging inlet.","","","","e3f2e57e7a395d9ca9931d429e540a34"
"Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent.DC","sensor","float","","A","","","Maximum DC charging current at inlet that can be accepted by the system.","","","","5a70acfd3c8959898b43738151ab36e1"
"Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent.Phase1","sensor","float","","A","","","Maximum AC charging current (rms) at inlet for Phase 1 that can be accepted by the system.","","","","e3c1034e89cc55968ff51b990906db43"
"Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent.Phase2","sensor","float","","A","","","Maximum AC charging current (rms) at inlet for Phase 2 that can be accepted by the system.","","","","ab3514bc982e54f2b98698fb6c752368"
"Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent.Phase3","sensor","float","","A","","","Maximum AC charging current (rms) at inlet for Phase 3 that can be accepted by the system.","","","","47dd5e99c30d562e9e2e1c58007846b6"
"Vehicle.Powertrain.TractionBattery.Charging.ChargePortFlap","actuator","string","V4.1 - Replaced with Charging.IsChargePortFlapOpen","","","","Status of the charge port cover(s), can potentially be controlled manually. OPEN if at least one is open.","","['OPEN', 'CLOSED']","","71bdd2145bb55c3393df194bfc2e03e5"
"Vehicle.Powertrain.TractionBattery.Charging.IsChargePortFlapOpen","actuator","boolean","","","","","Status of the charge port flap(s), can potentially be controlled manually. True if at least one is open.","","","","4999617956745477b905f7922b27d4ec"
