"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle.Powertrain.TractionBattery.Charging.ChargePortPosition","attribute","string[]","","","","","Location of the charge port(s). First part indicates side of vehicle, second part relative position on that side. If supported, the list in this attribute shall have the same length as Charging.ChargePortType, and use same the relative order.","Example - If this signal is [LEFT_FRONT, RIGHT_FRONT] and Charging.ChargePortType is [IEC_TYPE_2_AC, GBT_AC] that means that there is Mennekes port on the left side of the vehicle near the front, and a GB/T AC port on the right side, near the front.","['FRONT_LEFT', 'FRONT_MIDDLE', 'FRONT_RIGHT', 'REAR_LEFT', 'REAR_MIDDLE', 'REAR_RIGHT', 'LEFT_FRONT', 'LEFT_MIDDLE', 'LEFT_REAR', 'RIGHT_FRONT', 'RIGHT_MIDDLE', 'RIGHT_REAR']","","71ff249b26215714b9b28b1b8e066dba"
"Vehicle.Powertrain.TractionBattery.Charging.Mode","actuator","string","V4.1 - MANUAL and GRID are deprecated, please use AUTOMATIC/TRIGGERED or EXTERNAL_ENITY instead.","","","","Describes how the charging process is controlled. DEACTIVATED means that charging and discharging is deactivated, nothing will happen if charger is connected. AUTOMATIC means charging will be initiated as soon as charger is connected. TRIGGERED means charging will be initiated when triggered by user. TIMER means charging is timer-based. PROFILE means charging is controlled by profile downloaded to vehicle. EXTERNAL_ENTITY means charging/discharging is controlled by the external entity connected to the vehicle. This includes GRID-controlled charging (e.g. ISO 15118), but also other cases where vehicle is connected to an arbitrary load that is powered by the vehicle. MANUAL means manually initiated (plug-in event, companion app, etc). GRID means grid-controlled (e.g. ISO 15118).","EXTERNAL_ENTITY is the only mode where discharge may occur. The mechanism to provide a profile to the vehicle is currently not covered by VSS.","['DEACTIVATED', 'AUTOMATIC', 'TRIGGERED', 'TIMER', 'PROFILE', 'EXTERNAL_ENTITY', 'MANUAL', 'GRID']","","1e4be3280b265873945531f6f6d0ec6b"
"Vehicle.Powertrain.TractionBattery.Charging.IsCharging","sensor","boolean","","","","","True if charging is ongoing. Charging is considered to be ongoing if energy is flowing from charger to vehicle.","","","","d28244c9e3365899954bd3e38ef46bb9"
"Vehicle.Powertrain.TractionBattery.Charging.IsDischarging","sensor","boolean","","","","","True if discharging (vehicle to grid) is ongoing. Discharging is considered to be ongoing if energy is flowing from vehicle to charger/grid.","","","","534d884fb36652688535543b52419529"
"Vehicle.Powertrain.TractionBattery.Charging.StartStopCharging","actuator","string","","","","","Start or stop the charging process.","","['START', 'STOP']","","80506d3e9a2557c2b52f74a50d89593f"
"Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent","branch","","","","","","Current charging current.","","","","94739cf563735b438878ac0f85601f27"
"Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent.DC","sensor","float","","A","","","Current DC charging current at inlet. Negative if returning energy to grid.","","","","44204d7ae6fd5f8e954d0670a739bdf2"
"Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent.Phase1","sensor","float","","A","","","Current AC charging current (rms) at inlet for Phase 1. Negative if returning energy to grid.","","","","400dca50fcde52a6bb605d7e86f49776"
"Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent.Phase2","sensor","float","","A","","","Current AC charging current (rms) at inlet for Phase 2. Negative if returning energy to grid.","","","","32cb24d1c495503a9087d6f55997cf57"
"Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent.Phase3","sensor","float","","A","","","Current AC charging current (rms) at inlet for Phase 3. Negative if returning energy to grid.","","","","55fb7fb7ff4a5df9b6a3af435eac868e"
